Kanji,Hiragana,English,Origin,Difficulty
母親,ははおや,Wife,Duolingo 2.1,1
在宅,ざいたく,At home,Duolingo 2.1,1
行ってきます,いってきます,See you later,Duolingo 2.1,2
似ています,にています,Resembles,Duolingo 2.1,1
走る,はしる,To run,Duolingo 2.1,1
書く,かく,To write,Duolingo 2.1,1
描く,かく,To draw,Duolingo 2.1,1
習う,ならう,To learn,Duolingo 2.1,1
仕事する,しごとする,To work,Duolingo 2.1,1
旅行する,りょこうする,To travel,Duolingo 2.1,1
散歩する,さんぽする,To walk,Duolingo 2.1,1
風呂,ふろ,Bathtub,Duolingo 2.1,1
台,だい,Table,Duolingo 2.1,1
事,こと,Thing,Duolingo 2.1,1
仕事,しごと,Job,Duolingo 2.1,1
棚,たな,Shelf,Duolingo 2.1,1
本棚,ほんだな,Bookshelf,Duolingo 2.1,1
隅,すみ,Corner,Duolingo 2.1,1
片隅,かたすみ,Corner,Duolingo 2.1,1
布団,ふとん,Futon,Duolingo 2.1,1
鏡,かがみ,Mirror,Duolingo 2.1,1
冷蔵庫,れいぞうこ,Refrigerator,Duolingo 2.1,1
紙,かみ,Paper,Duolingo 2.1,1
手紙,てがみ,Letter,Duolingo 2.1,1
絵,え,Picture,Duolingo 2.1,1
学校,がっこう,School,Duolingo 2.1,1
会,かい,Meeting,Duolingo 2.1,1
台所,だいどころ,Kitchen,Duolingo 2.1,1
庭,にわ,Yard,Duolingo 2.1,1
寝室,しんしつ,Bedroom,Duolingo 2.1,1
所,ところ,Place,Duolingo 2.1,2
京都,きょうと,Kyoto,Duolingo 2.1,1
東京,とうきょう,Tokyo,Duolingo 2.1,1
大阪,おおさか,Osaka,Duolingo 2.1,1
阪,さか,Hill,Duolingo 2.1,1
韓国,かんこく,Korea,Duolingo 2.1,1
台湾,たいわん,Taiwan,Duolingo 2.1,1
違い,ちがい,"That's not right, difference",Duolingo 2.1,1
直美,なおみ,Naomi (name),Duolingo 2.1,1
健太,けんた,Kenta (name),Duolingo 2.1,1
冷たい,つめたい,Cold (thing),Duolingo 2.1,2
高い,たかい,Expensive,Duolingo 2.1,1
甘い,あまい,Sweet,Duolingo 2.1,1
低い,ひくい,Low,Duolingo 2.1,1
横,よこ,"Aside, next to ",Duolingo 2.1,1
旅している,たびしている,To take a trip (continuous form),Duolingo 2.1,1
海外,かいがい,Overseas,Duolingo 2.1,1
半分,はんぶん,Half,Duolingo 2.2,1
本当,ほんとう,Very,Duolingo 2.2,2
色,いろ,Color,Duolingo 2.2,1
赤い,あかい,Red,Duolingo 2.2,1
青い,あおい,Blue,Duolingo 2.2,1
白い,しろい,White,Duolingo 2.2,1
黄色い,きいろい,Yellow,Duolingo 2.2,1
黒い,くろい,Black,Duolingo 2.2,2
茶色,ちゃいろ,Brown,Duolingo 2.2,1
冬,ふゆ,Winter,Duolingo 2.2,1
春,はる,Spring,Duolingo 2.2,1
夏,なつ,Summer,Duolingo 2.2,1
秋,あき,Autumn,Duolingo 2.2,1
北,きた,North,Duolingo 2.2,1
東,ひがし,East,Duolingo 2.2,1
南,みなみ,South,Duolingo 2.2,1
西,にし,West,Duolingo 2.2,2
北東,ほくとう,Northeast,Duolingo 2.2,1
雪,ゆき,Snow,Duolingo 2.2,1
雨,あめ,Rain,Duolingo 2.2,1
空,そら,Sky,Duolingo 2.2,1
風,かぜ,Wind,Duolingo 2.2,1
今朝,けさ,This morning,Duolingo 2.2,1
今夜,こんや,This evening,Duolingo 2.2,2
夕べ,ゆうべ,Last night,Duolingo 2.2,2
夕方,ゆうがた,Evening,Duolingo 2.2,2
昼間,ひるま,Daytime,Duolingo 2.2,1
地下鉄,ちかてつ,"Subway, metro",Duolingo 2.2,1
自転車,じてんしゃ,Bicycle,Duolingo 2.2,1
飛行機,ひこうき,Airplane,Duolingo 2.2,1
空港,くうこう,Airport,Duolingo 2.2,2
駅,えき,Station,Duolingo 2.2,1
映画館,えいがかん,Movie theater,Duolingo 2.2,1
建物,たてもの,Building,Duolingo 2.2,2
銀行,ぎんこう,Bank,Duolingo 2.2,2
店,みせ,Store,Duolingo 2.2,1
鉄,てつ,Iron,Duolingo 2.2,2
地図,ちず,Map,Duolingo 2.2,1
入り口,いりぐち,Entrance,Duolingo 2.2,1
出口,でぐち,Exit,Duolingo 2.2,1
道,みち,Road,Duolingo 2.2,3
通り,とおり,Road,Duolingo 2.2,1
角,かど,Corner,Duolingo 2.2,1
服,ふく,Clothes,Duolingo 2.2,1
靴,くつ,Shoes,Duolingo 2.2,1
帽子,ぼうし,Hat,Duolingo 2.2,1
電話,でんわ,Phone,Duolingo 2.2,1
新聞,しんぶん,Newspaper,Duolingo 2.2,1
番号,ばんごう,Number,Duolingo 2.2,1
電話番号,でんわばんごう,Phone number,Duolingo 2.2,1
夕飯,ゆうはん,Dinner,Duolingo 2.2,2
弁当,べんと,"Bento, lunchbox",Duolingo 2.2,1
塩,しお,Salt,Duolingo 2.2,1
砂糖,さとう,Sugar,Duolingo 2.2,1
醬油,しょうゆ,Soy sauce,Duolingo 2.2,1
牛乳,ぎゅうにゅう,Milk,Duolingo 2.2,1
紅茶,こうちゃ,Black tea,Duolingo 2.2,2
お腹,おなか,Stomach,Duolingo 2.2,2
皿,さら,Plate,Duolingo 2.2,1
箸,はし,Chopstick,Duolingo 2.2,1
寿司,すし,Sushi ,Duolingo 2.2,1
茶碗,ちゃわん,Rice bowl,Duolingo 2.2,1
好物,こうぶつ,Favorite food,Duolingo 2.2,2
来週,らいしゅう,Next week,Duolingo 2.2,1
再来週,さらいしゅう,The week after next,Duolingo 2.2,2
今月,こんげつ,This month,Duolingo 2.2,1
再来月,さらいげつ,The month after next,Duolingo 2.2,1
脱ぐ,ぬぐ,To take off ,Duolingo 2.2,1
洗う,あらう,"To clean, wash",Duolingo 2.2,1
歩く,あるく,To walk,Duolingo 2.2,1
弾く,ひく,To play (instrument),Duolingo 2.2,1
作る,つくる,To make,Duolingo 2.2,1
吹く,ふく,To blow,Duolingo 2.2,1
進む,すすむ,"To advance, go forward",Duolingo 2.2,2
曲がる,まがる,To turn,Duolingo 2.2,2
お腹が空く,おなかがすく,To become hungry,Duolingo 2.2,3
出る,でる,To exit,Duolingo 2.2,1
通る,とおる,To go past,Duolingo 2.2,2
食べ過ぎる,たべすぎる,To overeat,Duolingo 2.2,3
練習する,れんしゅうする,To practice,Duolingo 2.2,2
料理する,りょうりする,To cook ,Duolingo 2.2,1
向こう,むこう,"Opposite side, over there",Duolingo 2.2,1
遠い,とおい,Far ,Duolingo 2.2,1
近い,ちかい,Close,Duolingo 2.2,1
遅い,おそい,Slow,Duolingo 2.2,1
欲しい,ほしい,Want,Duolingo 2.2,2
明るい,あかるい,Bright,Duolingo 2.2,2
暗い,くらい,Dark,Duolingo 2.2,1
暖かい,あたたかい,Warm,Duolingo 2.2,2
涼しい,すずしい,Cool,Duolingo 2.2,1
良い,よい,Good,Duolingo 2.2,1
悪い,わるい,Bad,Duolingo 2.2,1
弱い,よわい,Weak,Duolingo 2.2,1
強い,つよい,Strong,Duolingo 2.2,2
多い,おおい,"Numerous, a lot, many",Duolingo 2.2,1
広い,ひろい,"Spacious, big",Duolingo 2.2,3
狭い,せまい,"Narrow, small",Duolingo 2.2,2
塩っぱい,しおっぱい,Salty,Duolingo 2.2,1
晴れ,はれ,"Clear, sunny",Duolingo 2.2,1
曇り,くもり,Cloudy,Duolingo 2.2,1
少ない,すくない,"Few, scarce, insufficient",Duolingo 2.2,2
全部,ぜんぐ,All,Duolingo 2.2,2
結構,けっこう,"Splendid, wonderful, nice ",Duolingo 2.2,2
