Kanji,Hiragana,English,Origin,Difficulty,Category
毎週,まいしゅう,Every week ,Genki 1.8,1,Frequency 
今月,こんげつ,This month,Genki 1.8,1,Noun - Concept
来月,らいげつ,Next month,Genki 1.8,0,Noun - Concept
会社員,かいしゃいん,Office worker,Genki 1.8,1,Noun - Living
仕事,しごと,"Job, occupation",Genki 1.8,1,Noun - Concept
風呂,ふろ,Bathtub ,Genki 1.8,1,Noun - Object
所,ところ,Place,Genki 1.8,1,Noun - Place
洗う,あらう,To clean,Genki 1.8,1,Verb - Godan
言う,いう,To say,Genki 1.8,1,Verb - Godan
遅くなる,おそくなる,To be late,Genki 1.8,2,Verb - Godan
お風呂に入る,おふろにはいる,To take a bath,Genki 1.8,1,Verb - Godan
思う,おもう,To think,Genki 1.8,1,Verb - Godan
切る,きる,To cut,Genki 1.8,1,Verb - Godan
作る,つくる,To use,Genki 1.8,1,Verb - Godan
雨が降る,あめがふる,To rain,Genki 1.8,1,Verb - Godan
雪が降る,ゆきがふる,To snow,Genki 1.8,1,Verb - Godan
持っていく,もっていく,To take a thing,Genki 1.8,1,Verb - Godan
捨てる,すてる,To throw away,Genki 1.8,1,Verb - Ichidan
始める,はじめる,To start,Genki 1.8,1,Verb - Ichidan
洗濯する,せんたくする,To do the laundry,Genki 1.8,2,Verb - suru
運転する,うんてんする,To drive,Genki 1.8,2,Verb - suru
料理する,りょうりする,To cook,Genki 1.8,1,Verb - suru
掃除する,そうじする,To clean,Genki 1.8,2,Verb - suru
上手,じょうず,Skillfull at ,Genki 1.8,2,Adjective - な
下手,へた,Not good at,Genki 1.8,2,Adjective - な
有名,ゆうめい,Famous,Genki 1.8,1,Adjective - な
遅く,おそく,Late ,Genki 1.8,1,Adjective - な
乾杯,かんぱい,Cheers! ,Genki 1.8,2,Phrase
残念,ざんねん,That's too bad,Genki 1.8,3,Phrase
度,ど,Temperature (degrees),Genki 1.8,1,Counter
私,わたし,I,Duolingo 1,1,Noun - Living
